title,description,diet_tags
Oatmeal with banana & whey,"Rolled oats, milk, banana, whey protein",balanced
النظام	المرحلة	نوع الوجبة	اسم الوجبة	مكون	كمية (جم)	سعرات حرارية	بروتين (جم)	كربوهيدرات (جم)	دهون (جم)
تنشيف	5	غداء	صدر دجاج مشوي - غداء - تنشيف مرحلة 5	صدر دجاج مشوي	109.2	179.8	33.5	0	3.6
تنشيف	5	عشاء	سمك مشوي - عشاء - تنشيف مرحلة 5	سمك مشوي	109.2	168.9	18.2	0	10.2
تنشيف	5	وجبة إضافية	لبن زبادي قليل الدسم - وجبة إضافية - تنشيف مرحلة 5	لبن زبادي قليل الدسم	145.6	72.8	7.3	8.7	0.4
تنشيف	6	فطار	شوفان - فطار - تنشيف مرحلة 6	شوفان	29.4	110.2	3.7	19.8	2.2
تنشيف	6	غداء	أرز بسمتي - غداء - تنشيف مرحلة 6	أرز بسمتي	110.2	396.9	6.6	88.2	1.1
تنشيف	6	عشاء	سلطة خضراء - عشاء - تنشيف مرحلة 6	سلطة خضراء	73.5	14.7	0.7	2.9	0
تنشيف	6	وجبة إضافية	مكسرات (لوز) - وجبة إضافية - تنشيف مرحلة 6	مكسرات (لوز)	22.1	127.9	4.4	4.4	11
تنشيف	7	فطار	بيض مسلوق - فطار - تنشيف مرحلة 7	بيض مسلوق	74.2	115	9.6	0.8	8.2
تنشيف	7	غداء	صدر دجاج مشوي - غداء - تنشيف مرحلة 7	صدر دجاج مشوي	111.3	183.3	34.1	0	3.7
تنشيف	7	عشاء	سمك مشوي - عشاء - تنشيف مرحلة 7	سمك مشوي	111.3	172.1	18.6	0	10.4
تنشيف	7	وجبة إضافية	لبن زبادي قليل الدسم - وجبة إضافية - تنشيف مرحلة 7	لبن زبادي قليل الدسم	148.4	74.2	7.4	8.9	0.4
تنشيف	8	فطار	شوفان - فطار - تنشيف مرحلة 8	شوفان	30	112.3	3.7	20.2	2.2
تنشيف	8	غداء	أرز بسمتي - غداء - تنشيف مرحلة 8	أرز بسمتي	112.3	404.5	6.7	89.9	1.1
تنشيف	8	عشاء	سلطة خضراء - عشاء - تنشيف مرحلة 8	سلطة خضراء	74.9	15	0.7	3	0
تنشيف	8	وجبة إضافية	مكسرات (لوز) - وجبة إضافية - تنشيف مرحلة 8	مكسرات (لوز)	22.5	130.3	4.5	4.5	11.2
تنشيف	9	فطار	بيض مسلوق - فطار - تنشيف مرحلة 9	بيض مسلوق	75.6	117.2	9.8	0.8	8.3
تنشيف	9	غداء	صدر دجاج مشوي - غداء - تنشيف مرحلة 9	صدر دجاج مشوي	113.4	186.7	34.8	0	3.8
تنشيف	9	عشاء	سمك مشوي - عشاء - تنشيف مرحلة 9	سمك مشوي	113.4	175.4	18.9	0	10.6
تنشيف	9	وجبة إضافية	لبن زبادي قليل الدسم - وجبة إضافية - تنشيف مرحلة 9	لبن زبادي قليل الدسم	151.2	75.6	7.6	9.1	0.4
تنشيف	10	فطار	شوفان - فطار - تنشيف مرحلة 10	شوفان	30.5	114.5	3.8	20.6	2.3
تنشيف	10	غداء	أرز بسمتي - غداء - تنشيف مرحلة 10	أرز بسمتي	114.5	412	6.9	91.6	1.1
تنشيف	10	عشاء	سلطة خضراء - عشاء - تنشيف مرحلة 10	سلطة خضراء	76.3	15.3	0.8	3.1	0
تنشيف	10	وجبة إضافية	مكسرات (لوز) - وجبة إضافية - تنشيف مرحلة 10	مكسرات (لوز)	22.9	132.8	4.6	4.6	11.4
تنشيف	11	فطار	بيض مسلوق - فطار - تنشيف مرحلة 11	بيض مسلوق	77	119.4	10	0.8	8.5
تنشيف	11	غداء	صدر دجاج مشوي - غداء - تنشيف مرحلة 11	صدر دجاج مشوي	115.5	190.2	35.4	0	3.9
تنشيف	11	عشاء	سمك مشوي - عشاء - تنشيف مرحلة 11	سمك مشوي	115.5	178.6	19.2	0	10.8
تنشيف	11	وجبة إضافية	لبن زبادي قليل الدسم - وجبة إضافية - تنشيف مرحلة 11	لبن زبادي قليل الدسم	154	77	7.7	9.2	0.4
تنشيف	12	فطار	شوفان - فطار - تنشيف مرحلة 12	شوفان	31.1	116.5	3.9	21	2.3
تنشيف	12	غداء	أرز بسمتي - غداء - تنشيف مرحلة 12	أرز بسمتي	116.5	419.6	7	93.2	1.2
تنشيف	12	عشاء	سلطة خضراء - عشاء - تنشيف مرحلة 12	سلطة خضراء	77.7	15.5	0.8	3.1	0
تنشيف	12	وجبة إضافية	مكسرات (لوز) - وجبة إضافية - تنشيف مرحلة 12	مكسرات (لوز)	23.3	135.2	4.7	4.7	11.7
تنشيف	13	فطار	بيض مسلوق - فطار - تنشيف مرحلة 13	بيض مسلوق	78.4	121.5	10.2	0.9	8.6
تنشيف	13	غداء	صدر دجاج مشوي - غداء - تنشيف مرحلة 13	صدر دجاج مشوي	117.6	193.6	36.1	0	3.9
تنشيف	13	عشاء	سمك مشوي - عشاء - تنشيف مرحلة 13	سمك مشوي	117.6	181.9	19.6	0	11
تنشيف	13	وجبة إضافية	لبن زبادي قليل الدسم - وجبة إضافية - تنشيف مرحلة 13	لبن زبادي قليل الدسم	156.8	78.4	7.8	9.4	0.4
تنشيف	14	فطار	شوفان - فطار - تنشيف مرحلة 14	شوفان	31.6	118.6	4	21.4	2.4
تنشيف	14	غداء	أرز بسمتي - غداء - تنشيف مرحلة 14	أرز بسمتي	118.6	427.1	7.1	94.9	1.2
تنشيف	14	عشاء	سلطة خضراء - عشاء - تنشيف مرحلة 14	سلطة خضراء	79.1	15.8	0.8	3.2	0
تنشيف	14	وجبة إضافية	مكسرات (لوز) - وجبة إضافية - تنشيف مرحلة 14	مكسرات (لوز)	23.7	137.6	4.7	4.7	11.9
تنشيف	15	فطار	بيض مسلوق - فطار - تنشيف مرحلة 15	بيض مسلوق	79.8	123.7	10.4	0.9	8.8
تنشيف	15	غداء	صدر دجاج مشوي - غداء - تنشيف مرحلة 15	صدر دجاج مشوي	119.7	197.1	36.7	0	4
تنشيف	15	عشاء	سمك مشوي - عشاء - تنشيف مرحلة 15	سمك مشوي	119.7	185.1	20	0	11.2
تنشيف	15	وجبة إضافية	لبن زبادي قليل الدسم - وجبة إضافية - تنشيف مرحلة 15	لبن زبادي قليل الدسم	159.6	79.8	8	9.6	0.4
تنشيف	16	فطار	شوفان - فطار - تنشيف مرحلة 16	شوفان	32.2	120.7	4	21.7	2.4
تنشيف	16	غداء	أرز بسمتي - غداء - تنشيف مرحلة 16	أرز بسمتي	120.7	434.7	7.2	96.6	1.2
تنشيف	16	عشاء	سلطة خضراء - عشاء - تنشيف مرحلة 16	سلطة خضراء	80.5	16.1	0.8	3.2	0
تنشيف	16	وجبة إضافية	مكسرات (لوز) - وجبة إضافية - تنشيف مرحلة 16	مكسرات (لوز)	24.1	140.1	4.8	4.8	12.1
تنشيف	17	فطار	بيض مسلوق - فطار - تنشيف مرحلة 17	بيض مسلوق	81.2	125.9	10.6	0.9	8.9
تنشيف	17	غداء	صدر دجاج مشوي - غداء - تنشيف مرحلة 17	صدر دجاج مشوي	121.8	200.6	37.4	0	4.1
تنشيف	17	عشاء	سمك مشوي - عشاء - تنشيف مرحلة 17	سمك مشوي	121.8	188.4	20.3	0	11.4
تنشيف	17	وجبة إضافية	لبن زبادي قليل الدسم - وجبة إضافية - تنشيف مرحلة 17	لبن زبادي قليل الدسم	162.4	81.2	8.1	9.7	0.4
تنشيف	18	فطار	شوفان - فطار - تنشيف مرحلة 18	شوفان	32.8	122.8	4.1	22.1	2.5
تنشيف	18	غداء	أرز بسمتي - غداء - تنشيف مرحلة 18	أرز بسمتي	122.8	442.3	7.4	98.3	1.2
تنشيف	18	عشاء	سلطة خضراء - عشاء - تنشيف مرحلة 18	سلطة خضراء	81.9	16.4	0.8	3.3	0
تنشيف	18	وجبة إضافية	مكسرات (لوز) - وجبة إضافية - تنشيف مرحلة 18	مكسرات (لوز)	24.6	142.5	4.9	4.9	12.3
تنشيف	19	فطار	بيض مسلوق - فطار - تنشيف مرحلة 19	بيض مسلوق	82.6	128	10.7	0.9	9.1
تنشيف	19	غداء	صدر دجاج مشوي - غداء - تنشيف مرحلة 19	صدر دجاج مشوي	123.9	204	38	0	4.1
تنشيف	19	عشاء	سمك مشوي - عشاء - تنشيف مرحلة 19	سمك مشوي	123.9	191.6	20.6	0	11.6
تنشيف	19	وجبة إضافية	لبن زبادي قليل الدسم - وجبة إضافية - تنشيف مرحلة 19	لبن زبادي قليل الدسم	165.2	82.6	8.3	9.9	0.4
تنشيف	20	فطار	شوفان - فطار - تنشيف مرحلة 20	شوفان	33.3	124.9	4.2	22.5	2.5
تنشيف	20	غداء	أرز بسمتي - غداء - تنشيف مرحلة 20	أرز بسمتي	124.9	449.8	7.5	100	1.2
تنشيف	20	عشاء	سلطة خضراء - عشاء - تنشيف مرحلة 20	سلطة خضراء	83.3	16.7	0.8	3.3	0
تنشيف	20	وجبة إضافية	مكسرات (لوز) - وجبة إضافية - تنشيف مرحلة 20	مكسرات (لوز)	25	144.9	5	5	12.5
تنشيف	21	فطار	بيض مسلوق - فطار - تنشيف مرحلة 21	بيض مسلوق	84	130.2	10.9	0.9	9.2
تنشيف	21	غداء	صدر دجاج مشوي - غداء - تنشيف مرحلة 21	صدر دجاج مشوي	126	207.5	38.6	0	4.2
تنشيف	21	عشاء	سمك مشوي - عشاء - تنشيف مرحلة 21	سمك مشوي	126	194.9	21	0	11.8
تنشيف	21	وجبة إضافية	لبن زبادي قليل الدسم - وجبة إضافية - تنشيف مرحلة 21	لبن زبادي قليل الدسم	168	84	8.4	10.1	0.4
تنشيف	22	فطار	شوفان - فطار - تنشيف مرحلة 22	شوفان	33.9	127	4.2	22.9	2.5
تنشيف	22	غداء	أرز بسمتي - غداء - تنشيف مرحلة 22	أرز بسمتي	127	457.4	7.6	101.6	1.3
تنشيف	22	عشاء	سلطة خضراء - عشاء - تنشيف مرحلة 22	سلطة خضراء	84.7	16.9	0.8	3.4	0
تنشيف	22	وجبة إضافية	مكسرات (لوز) - وجبة إضافية - تنشيف مرحلة 22	مكسرات (لوز)	25.4	147.4	5.1	5.1	12.7
تنشيف	23	فطار	بيض مسلوق - فطار - تنشيف مرحلة 23	بيض مسلوق	85.4	132.4	11.1	0.9	9.4
تنشيف	23	غداء	صدر دجاج مشوي - غداء - تنشيف مرحلة 23	صدر دجاج مشوي	128.1	210.9	39.3	0	4.3
تنشيف	23	عشاء	سمك مشوي - عشاء - تنشيف مرحلة 23	سمك مشوي	128.1	198.1	21.3	0	12
تنشيف	23	وجبة إضافية	لبن زبادي قليل الدسم - وجبة إضافية - تنشيف مرحلة 23	لبن زبادي قليل الدسم	170.8	85.4	8.5	10.2	0.4
تنشيف	24	فطار	شوفان - فطار - تنشيف مرحلة 24	شوفان	34.4	129.2	4.3	23.2	2.6
تنشيف	24	غداء	أرز بسمتي - غداء - تنشيف مرحلة 24	أرز بسمتي	129.2	464.9	7.7	103.3	1.3
تنشيف	24	عشاء	سلطة خضراء - عشاء - تنشيف مرحلة 24	سلطة خضراء	86.1	17.2	0.9	3.4	0
تنشيف	24	وجبة إضافية	مكسرات (لوز) - وجبة إضافية - تنشيف مرحلة 24	مكسرات (لوز)	25.8	149.8	5.2	5.2	12.9
تنشيف	25	فطار	بيض مسلوق - فطار - تنشيف مرحلة 25	بيض مسلوق	86.8	134.5	11.3	1	9.5
تنشيف	25	غداء	صدر دجاج مشوي - غداء - تنشيف مرحلة 25	صدر دجاج مشوي	130.2	214.4	39.9	0	4.3
تنشيف	25	عشاء	سمك مشوي - عشاء - تنشيف مرحلة 25	سمك مشوي	130.2	201.4	21.7	0	12.2
تنشيف	25	وجبة إضافية	لبن زبادي قليل الدسم - وجبة إضافية - تنشيف مرحلة 25	لبن زبادي قليل الدسم	173.6	86.8	8.7	10.4	0.4
تنشيف	26	فطار	شوفان - فطار - تنشيف مرحلة 26	شوفان	35	131.2	4.4	23.6	2.6
تنشيف	26	غداء	أرز بسمتي - غداء - تنشيف مرحلة 26	أرز بسمتي	131.2	472.5	7.9	105	1.3
تنشيف	26	عشاء	سلطة خضراء - عشاء - تنشيف مرحلة 26	سلطة خضراء	87.5	17.5	0.9	3.5	0
تنشيف	26	وجبة إضافية	مكسرات (لوز) - وجبة إضافية - تنشيف مرحلة 26	مكسرات (لوز)	26.2	152.2	5.2	5.2	13.1
تنشيف	27	فطار	بيض مسلوق - فطار - تنشيف مرحلة 27	بيض مسلوق	88.2	136.7	11.5	1	9.7
تنشيف	27	غداء	صدر دجاج مشوي - غداء - تنشيف مرحلة 27	صدر دجاج مشوي	132.3	217.9	40.6	0	4.4
تنشيف	27	عشاء	سمك مشوي - عشاء - تنشيف مرحلة 27	سمك مشوي	132.3	204.6	22	0	12.3
تنشيف	27	وجبة إضافية	لبن زبادي قليل الدسم - وجبة إضافية - تنشيف مرحلة 27	لبن زبادي قليل الدسم	176.4	88.2	8.8	10.6	0.4
تنشيف	28	فطار	شوفان - فطار - تنشيف مرحلة 28	شوفان	35.6	133.3	4.4	24	2.7
تنشيف	28	غداء	أرز بسمتي - غداء - تنشيف مرحلة 28	أرز بسمتي	133.3	480.1	8	106.7	1.3
تنشيف	28	عشاء	سلطة خضراء - عشاء - تنشيف مرحلة 28	سلطة خضراء	88.9	17.8	0.9	3.6	0
تنشيف	28	وجبة إضافية	مكسرات (لوز) - وجبة إضافية - تنشيف مرحلة 28	مكسرات (لوز)	26.7	154.7	5.3	5.3	13.3
تنشيف	29	فطار	بيض مسلوق - فطار - تنشيف مرحلة 29	بيض مسلوق	89.6	138.9	11.6	1	9.9
تنشيف	29	غداء	صدر دجاج مشوي - غداء - تنشيف مرحلة 29	صدر دجاج مشوي	134.4	221.3	41.2	0	4.5
تنشيف	29	عشاء	سمك مشوي - عشاء - تنشيف مرحلة 29	سمك مشوي	134.4	207.9	22.4	0	12.5
تنشيف	29	وجبة إضافية	لبن زبادي قليل الدسم - وجبة إضافية - تنشيف مرحلة 29	لبن زبادي قليل الدسم	179.2	89.6	9	10.8	0.4
تنشيف	30	فطار	شوفان - فطار - تنشيف مرحلة 30	شوفان	36.1	135.4	4.5	24.4	2.7
تنشيف	30	غداء	أرز بسمتي - غداء - تنشيف مرحلة 30	أرز بسمتي	135.4	487.6	8.1	108.4	1.4
تنشيف	30	عشاء	سلطة خضراء - عشاء - تنشيف مرحلة 30	سلطة خضراء	90.3	18.1	0.9	3.6	0
تنشيف	30	وجبة إضافية	مكسرات (لوز) - وجبة إضافية - تنشيف مرحلة 30	مكسرات (لوز)	27.1	157.1	5.4	5.4	13.5
تنشيف	31	فطار	بيض مسلوق - فطار - تنشيف مرحلة 31	بيض مسلوق	91	141	11.8	1	10
تنشيف	31	غداء	صدر دجاج مشوي - غداء - تنشيف مرحلة 31	صدر دجاج مشوي	136.5	224.8	41.9	0	4.5
تنشيف	31	عشاء	سمك مشوي - عشاء - تنشيف مرحلة 31	سمك مشوي	136.5	211.1	22.7	0	12.7
تنشيف	31	وجبة إضافية	لبن زبادي قليل الدسم - وجبة إضافية - تنشيف مرحلة 31	لبن زبادي قليل الدسم	182	91	9.1	10.9	0.5
تنشيف	32	فطار	شوفان - فطار - تنشيف مرحلة 32	شوفان	36.7	137.5	4.6	24.8	2.8
تنشيف	32	غداء	أرز بسمتي - غداء - تنشيف مرحلة 32	أرز بسمتي	137.5	495.2	8.3	110	1.4
تنشيف	32	عشاء	سلطة خضراء - عشاء - تنشيف مرحلة 32	سلطة خضراء	91.7	18.3	0.9	3.7	0
تنشيف	32	وجبة إضافية	مكسرات (لوز) - وجبة إضافية - تنشيف مرحلة 32	مكسرات (لوز)	27.5	159.6	5.5	5.5	13.8
تنشيف	33	فطار	بيض مسلوق - فطار - تنشيف مرحلة 33	بيض مسلوق	92.4	143.2	12	1	10.2
تنشيف	33	غداء	صدر دجاج مشوي - غداء - تنشيف مرحلة 33	صدر دجاج مشوي	138.6	228.2	42.5	0	4.6
تنشيف	33	عشاء	سمك مشوي - عشاء - تنشيف مرحلة 33	سمك مشوي	138.6	214.4	23.1	0	12.9
تنشيف	33	وجبة إضافية	لبن زبادي قليل الدسم - وجبة إضافية - تنشيف مرحلة 33	لبن زبادي قليل الدسم	184.8	92.4	9.2	11.1	0.5
تنشيف	34	فطار	شوفان - فطار - تنشيف مرحلة 34	شوفان	37.2	139.6	4.7	25.1	2.8
تنشيف	34	غداء	أرز بسمتي - غداء - تنشيف مرحلة 34	أرز بسمتي	139.6	502.7	8.4	111.7	1.4
تنشيف	34	عشاء	سلطة خضراء - عشاء - تنشيف مرحلة 34	سلطة خضراء	93.1	18.6	0.9	3.7	0
تنشيف	34	وجبة إضافية	مكسرات (لوز) - وجبة إضافية - تنشيف مرحلة 34	مكسرات (لوز)	27.9	162	5.6	5.6	14
تنشيف	35	فطار	بيض مسلوق - فطار - تنشيف مرحلة 35	بيض مسلوق	93.8	145.4	12.2	1	10.3
تنشيف	35	غداء	صدر دجاج مشوي - غداء - تنشيف مرحلة 35	صدر دجاج مشوي	140.7	231.7	43.1	0	4.7
تنشيف	35	عشاء	سمك مشوي - عشاء - تنشيف مرحلة 35	سمك مشوي	140.7	217.6	23.4	0	13.1
تنشيف	35	وجبة إضافية	لبن زبادي قليل الدسم - وجبة إضافية - تنشيف مرحلة 35	لبن زبادي قليل الدسم	187.6	93.8	9.4	11.3	0.5
تنشيف	36	فطار	شوفان - فطار - تنشيف مرحلة 36	شوفان	37.8	141.8	4.7	25.5	2.8
تنشيف	36	غداء	أرز بسمتي - غداء - تنشيف مرحلة 36	أرز بسمتي	141.8	510.3	8.5	113.4	1.4
تنشيف	36	عشاء	سلطة خضراء - عشاء - تنشيف مرحلة 36	سلطة خضراء	94.5	18.9	0.9	3.8	0
تنشيف	36	وجبة إضافية	مكسرات (لوز) - وجبة إضافية - تنشيف مرحلة 36	مكسرات (لوز)	28.3	164.4	5.7	5.7	14.2
تنشيف	37	فطار	بيض مسلوق - فطار - تنشيف مرحلة 37	بيض مسلوق	95.2	147.6	12.4	1	10.5
تنشيف	37	غداء	صدر دجاج مشوي - غداء - تنشيف مرحلة 37	صدر دجاج مشوي	142.8	235.1	43.8	0	4.8
تنشيف	37	عشاء	سمك مشوي - عشاء - تنشيف مرحلة 37	سمك مشوي	142.8	220.9	23.8	0	13.3
تنشيف	37	وجبة إضافية	لبن زبادي قليل الدسم - وجبة إضافية - تنشيف مرحلة 37	لبن زبادي قليل الدسم	190.4	95.2	9.5	11.4	0.5
تنشيف	38	فطار	شوفان - فطار - تنشيف مرحلة 38	شوفان	38.4	143.8	4.8	25.9	2.9
تنشيف	38	غداء	أرز بسمتي - غداء - تنشيف مرحلة 38	أرز بسمتي	143.8	517.9	8.6	115.1	1.4
تنشيف	38	عشاء	سلطة خضراء - عشاء - تنشيف مرحلة 38	سلطة خضراء	95.9	19.2	1	3.8	0
تنشيف	38	وجبة إضافية	مكسرات (لوز) - وجبة إضافية - تنشيف مرحلة 38	مكسرات (لوز)	28.8	166.9	5.8	5.8	14.4
تنشيف	39	فطار	بيض مسلوق - فطار - تنشيف مرحلة 39	بيض مسلوق	96.6	149.7	12.6	1.1	10.6
تنشيف	39	غداء	صدر دجاج مشوي - غداء - تنشيف مرحلة 39	صدر دجاج مشوي	144.9	238.6	44.4	0	4.8
تنشيف	39	عشاء	سمك مشوي - عشاء - تنشيف مرحلة 39	سمك مشوي	144.9	224.1	24.1	0	13.5
تنشيف	39	وجبة إضافية	لبن زبادي قليل الدسم - وجبة إضافية - تنشيف مرحلة 39	لبن زبادي قليل الدسم	193.2	96.6	9.7	11.6	0.5
تنشيف	40	فطار	شوفان - فطار - تنشيف مرحلة 40	شوفان	38.9	145.9	4.9	26.3	2.9
تنشيف	40	غداء	أرز بسمتي - غداء - تنشيف مرحلة 40	أرز بسمتي	145.9	525.4	8.8	116.8	1.5
تنشيف	40	عشاء	سلطة خضراء - عشاء - تنشيف مرحلة 40	سلطة خضراء	97.3	19.5	1	3.9	0
تنشيف	40	وجبة إضافية	مكسرات (لوز) - وجبة إضافية - تنشيف مرحلة 40	مكسرات (لوز)	29.2	169.3	5.8	5.8	14.6
تنشيف	41	فطار	بيض مسلوق - فطار - تنشيف مرحلة 41	بيض مسلوق	98	151.9	12.7	1.1	10.8
تنشيف	41	غداء	صدر دجاج مشوي - غداء - تنشيف مرحلة 41	صدر دجاج مشوي	147	242.1	45.1	0	4.9
تنشيف	41	عشاء	سمك مشوي - عشاء - تنشيف مرحلة 41	سمك مشوي	147	227.4	24.5	0	13.7
تنشيف	41	وجبة إضافية	لبن زبادي قليل الدسم - وجبة إضافية - تنشيف مرحلة 41	لبن زبادي قليل الدسم	196	98	9.8	11.8	0.5
تنشيف	42	فطار	شوفان - فطار - تنشيف مرحلة 42	شوفان	39.5	148.1	4.9	26.6	3
تنشيف	42	غداء	أرز بسمتي - غداء - تنشيف مرحلة 42	أرز بسمتي	148.1	533	8.9	118.4	1.5
تنشيف	42	عشاء	سلطة خضراء - عشاء - تنشيف مرحلة 42	سلطة خضراء	98.7	19.7	1	3.9	0
تنشيف	42	وجبة إضافية	مكسرات (لوز) - وجبة إضافية - تنشيف مرحلة 42	مكسرات (لوز)	29.6	171.7	5.9	5.9	14.8
تنشيف	43	فطار	بيض مسلوق - فطار - تنشيف مرحلة 43	بيض مسلوق	99.4	154.1	12.9	1.1	10.9
تنشيف	43	غداء	صدر دجاج مشوي - غداء - تنشيف مرحلة 43	صدر دجاج مشوي	149.1	245.5	45.7	0	5
تنشيف	43	عشاء	سمك مشوي - عشاء - تنشيف مرحلة 43	سمك مشوي	149.1	230.6	24.8	0	13.9
تنشيف	43	وجبة إضافية	لبن زبادي قليل الدسم - وجبة إضافية - تنشيف مرحلة 43	لبن زبادي قليل الدسم	198.8	99.4	9.9	11.9	0.5
تنشيف	44	فطار	شوفان - فطار - تنشيف مرحلة 44	شوفان	40	150.1	5	27	3
تنشيف	44	غداء	أرز بسمتي - غداء - تنشيف مرحلة 44	أرز بسمتي	150.1	540.5	9	120.1	1.5
تنشيف	44	عشاء	سلطة خضراء - عشاء - تنشيف مرحلة 44	سلطة خضراء	100.1	20	1	4	0
تنشيف	44	وجبة إضافية	مكسرات (لوز) - وجبة إضافية - تنشيف مرحلة 44	مكسرات (لوز)	30	174.2	6	6	15
تنشيف	45	فطار	بيض مسلوق - فطار - تنشيف مرحلة 45	بيض مسلوق	100.8	156.2	13.1	1.1	11.1
تنشيف	45	غداء	صدر دجاج مشوي - غداء - تنشيف مرحلة 45	صدر دجاج مشوي	151.2	249	46.4	0	5
تنشيف	45	عشاء	سمك مشوي - عشاء - تنشيف مرحلة 45	سمك مشوي	151.2	233.9	25.2	0	14.1
تنشيف	45	وجبة إضافية	لبن زبادي قليل الدسم - وجبة إضافية - تنشيف مرحلة 45	لبن زبادي قليل الدسم	201.6	100.8	10.1	12.1	0.5
تنشيف	46	فطار	شوفان - فطار - تنشيف مرحلة 46	شوفان	40.6	152.2	5.1	27.4	3
تنشيف	46	غداء	أرز بسمتي - غداء - تنشيف مرحلة 46	أرز بسمتي	152.2	548.1	9.1	121.8	1.5
تنشيف	46	عشاء	سلطة خضراء - عشاء - تنشيف مرحلة 46	سلطة خضراء	101.5	20.3	1	4.1	0
تنشيف	46	وجبة إضافية	مكسرات (لوز) - وجبة إضافية - تنشيف مرحلة 46	مكسرات (لوز)	30.4	176.6	6.1	6.1	15.2
تنشيف	47	فطار	بيض مسلوق - فطار - تنشيف مرحلة 47	بيض مسلوق	102.2	158.4	13.3	1.1	11.2
تنشيف	47	غداء	صدر دجاج مشوي - غداء - تنشيف مرحلة 47	صدر دجاج مشوي	153.3	252.4	47	0	5.1
تنشيف	47	عشاء	سمك مشوي - عشاء - تنشيف مرحلة 47	سمك مشوي	153.3	237.1	25.6	0	14.3
تنشيف	47	وجبة إضافية	لبن زبادي قليل الدسم - وجبة إضافية - تنشيف مرحلة 47	لبن زبادي قليل الدسم	204.4	102.2	10.2	12.3	0.5
تنشيف	48	فطار	شوفان - فطار - تنشيف مرحلة 48	شوفان	41.2	154.3	5.1	27.8	3.1
تنشيف	48	غداء	أرز بسمتي - غداء - تنشيف مرحلة 48	أرز بسمتي	154.3	555.7	9.3	123.5	1.5
تنشيف	48	عشاء	سلطة خضراء - عشاء - تنشيف مرحلة 48	سلطة خضراء	102.9	20.6	1	4.1	0
تنشيف	48	وجبة إضافية	مكسرات (لوز) - وجبة إضافية - تنشيف مرحلة 48	مكسرات (لوز)	30.9	179	6.2	6.2	15.4
تنشيف	49	فطار	بيض مسلوق - فطار - تنشيف مرحلة 49	بيض مسلوق	103.6	160.6	13.5	1.1	11.4
تنشيف	49	غداء	صدر دجاج مشوي - غداء - تنشيف مرحلة 49	صدر دجاج مشوي	155.4	255.9	47.7	0	5.2
تنشيف	49	عشاء	سمك مشوي - عشاء - تنشيف مرحلة 49	سمك مشوي	155.4	240.4	25.9	0	14.5
تنشيف	49	وجبة إضافية	لبن زبادي قليل الدسم - وجبة إضافية - تنشيف مرحلة 49	لبن زبادي قليل الدسم	207.2	103.6	10.4	12.4	0.5
تنشيف	50	فطار	شوفان - فطار - تنشيف مرحلة 50	شوفان	41.7	156.4	5.2	28.2	3.1
